id,sung,infdir,cat,baby,adult,score,rt,rt_correct,pers
JEN01B,0,1,id speech,.68456376,.31543624,.68456376,3.7534344,3.7534344,JEN01
JEN02C,1,0,ad song,.68932039,.31067961,.31067961,5.1368999,5.1368999,JEN02
JEN02A,1,1,id song,.21153846,.78846157,.21153846,2.5662189,2.5662189,JEN02
JEN03C,1,0,ad song,.66666669,.33333334,.33333334,4.9330573,4.9330573,JEN03
JEN03A,1,1,id song,.80291969,.1970803,.80291969,3.6271122,3.6271122,JEN03
JEN04C,1,0,ad song,.93913043,.060869563,.060869563,4.5563335,4.5563335,JEN04
JEN04D,0,0,ad speech,.33333334,.66666669,.66666669,3.9379854,3.9379854,JEN04
JEN04A,1,1,id song,.9579832,.042016808,.9579832,2.7759819,2.7759819,JEN04
JEN05C,1,0,ad song,.61538464,.38461539,.38461539,3.7140698,3.7140698,JEN05
JEN05A,1,1,id song,.56204379,.43795621,.56204379,3.0277531,3.0277531,JEN05
JEN06D,0,0,ad speech,.16981132,.83018869,.83018869,3.3038471,3.3038471,JEN06
JEN06A,1,1,id song,.8984375,.1015625,.8984375,3.5055399,3.5055399,JEN06
JEN06B,0,1,id speech,.68085104,.31914893,.68085104,3.1280537,3.1280537,JEN06
JEN07C,1,0,ad song,.75,.25,.25,3.7260666,3.7260666,JEN07
JEN07D,0,0,ad speech,.21551724,.78448278,.78448278,3.7963932,3.7963932,JEN07
JEN07A,1,1,id song,.7421875,.2578125,.7421875,3.3859043,3.3859043,JEN07
JEN07B,0,1,id speech,.49342105,.50657892,.49342105,4.1908731,4.1908731,JEN07
JEN08C,1,0,ad song,.67346936,.32653061,.32653061,3.9874651,3.9874651,JEN08
JEN08D,0,0,ad speech,.407767,.592233,.592233,4.564836,4.564836,JEN08
JEN08A,1,1,id song,.60000002,.40000001,.60000002,3.5418947,3.5418947,JEN08
JEN09C,1,0,ad song,.44036698,.55963302,.55963302,3.9923115,3.9923115,JEN09
JEN09A,1,1,id song,.55000001,.44999999,.55000001,3.0599031,3.0599031,JEN09
JEN09B,0,1,id speech,.48039216,.51960784,.48039216,3.8371305,3.8371305,JEN09
JEN10C,1,0,ad song,.58490568,.41509435,.41509435,3.4578781,3.4578781,JEN10
JEN10D,0,0,ad speech,.48181817,.5181818,.5181818,3.5215454,3.5215454,JEN10
